"kvzId","externalOrderNo"
"63011A27",17705
"26514A5",17687
"6317A27",17685
"62527A22",17723
"62011A96",14594
"71142A102",17749
"215179A7",17750
"215179A74",17750
"39912A44",17745
"71515A75",17752
"39916A505",17748
"71177A11",17752
"71721A24",17752
63151703,17791
"703181A110",17752
"703181A55",17752
"6514A32",17793
"63192A4",17794
"39916R258",17808
"52212R643",17813
"57411R41",17809
"39912R30",17821
"52231A47",17826
"52228A17",17841
"52542R1",17846
"52542A1",17846
"74511A40",17752
"71182A16",17752
"71181A62",17752
"71181A161",17752
"57319A6",17878
"57319A34",17878
"24211A32",17886
"28412A6",17903
"34135R26",17914
"51316A4",17927
"94179R151",17928
"94179A84",17928
"2611A31",17950
6315603,17945
"6315A6",17945
"62413R505",17940
"23817R3",17937
"23817R24",17937
"23817R82",17937
"52612R13",17963
"52612A614",17963
"52612A4",17963
"52616A101",17965
"21521A68",17996
"215179A111",17996
"76121A160",18026
"52612A105",18043
"52612A19",18043
"6315A5",18089
"76151R33",18109
"76151A9",18109
"24211A38",18122
"61286A1",18179
"61282R8",18179
"61286R520",18179
631927101,18276
"63192R73",18276
631927102,18276
"6314A26",18276
"68412A69",18240
"68412R13",18240
"68412A16",18240
"21521A117",18286
"21521R45",18286
"21521A64",18286
"21571R45",18285
"21571A42",18285
"21571A5",18285
"21571A9",18285
"68721A47",18294
"6716A81",18316
"ohne ID",18319
"68412A73",18320
"72137A28",18339
"6118R536",18349
"6117R40",18349
"6113R149",18349
"52412A13",18054
"68317R3",18414
"68317R1",18414
"68317A566",18414
"68317R5",18414
"68318R59",18414
"21521A29",17908
"21521A3",18286
"21521A557",18286
"21571A41",18285
"2611A47",18529
631923003,18492
"83212A99",18549
"83212A7",18548
"3405A68",18495
"76121A92",18555
"76141A55",18615
,18626
"6816A20",18626
"6813A26",18626
"68187A8",18626
"6816A11",18626
"41416A28",18650
"6716A36","1089 M"
"6716A532","1089 M"
"6716R98","1089 M"
"68181A531",18693
"6813A100",18692
631922901,18732
"keine ID in Liste",18706
"keine ID in Liste",18736
"61722A7",1094
"22322A7",1098
"22322A5",1098
"94171R104",18779
"8415A1",18737
"28622A10",18832
"28721A19",18832
"36432A19",18805
"68651R15",18826
"36432A18",18805
"21034A47",18570
"52612A22",17965
"52612A24",17965
"74511A522",17752
"74511A35",17752
"74511A999",17752
"28721A13",18832
"28741R32",18832
"68611R511",18886
"68611A2",18886
"68344A10",18886
"R544",18927
"332054A54",1124
"3312V175",1126
"332054A56",1124
"34144R88",17313
"34144R622",17313
"34144R617",17313
"34144R641",17313
"34121A162",17313
"34121R34",17313
"34121A160",17313
"34130A93",17313
"34130A81",17313
"34130R583",17313
"34186R15",17313
"34123A153",17313
"342041A10",17313
"keine ID in Liste","1088 M"
"82131A45",19001
"61152A80",1128
"8413R34",19023
"72741A12",19026
"72741A4",19026
"72741A32",19026
"72741A20",19026
"72741A24",19026
"72741A36",19026
"73073A9",19029
"34121A302",19042
"34121R1210",19042
"8416R24",19049
"8418A80",19048
"8418R89",19048
"89319A23",17377
"34121A96",19042
"34121R18",19042
"34121R148",19042
"81652A48",17377
"keine ID in Liste",17377
"81652R527",17377
"62178A100",1142
"62015A507",1139
"keine ID in Liste",1140
"62031A42",1140
"337011A9",1141
"33811A102",1143
"62175R52",19074
"62175A51",19074
"keine ID in Liste",17377
"8417R568",19078
"33793A28",1141
"3653A97",18593
"72188R16",19096
"62144R665",1152
"337082V2515",1151
"keine ID in Liste",1153
"7212A503",19102
"73073A101",19029
"keine ID in Liste",19117
"33816A10",1157
"33272A83",1156
"33272A67",1156
"3312A202",1155
"3317A167",1155
"72184A14",19138
"72184A55",19138
"3658A8",18593
"62141R42",1160
"6212R67",1160
"ohne ID",1160
"73073A28",19029
"72137A613",19192
"3654R113",19184
"keine ID in Liste",1166
"81652R48",1168
"3356A83",1173
"3355A121",1173
"337082A17",1151
"33381A124",1165
"33381A34",1174
"81652A49",1168
"81652R934",1168
"3653R90",19176
"keine ID in Liste",1172
"3317A156",1172
"337083V521",1175
"337082V2527",1175
"keine ID in Liste",1175
"6212A5",1176
"81652R57",1168
"81652A35",1168
"3752A764",18192
"3319R143",1185
"3752A69",18192
"3752R191",18192
"3752A28",18192
"3752A192",18192
"3752A192",18192
72122284,19219
"3654A114",19184
"33381R64",1186
"33381A9",1188
"33381R510",1188
"33381R55",1188
"33381A90",1188
"AUTO",1188
"6212A6",1176
"92815R521",18676
"92815A19",18676
"92819A4",18676
"33793A13",1193
"33793A53",1193
"3355A119",1196
"3355A125",1197
"keine ID in Liste",1194
"23697A4",1195
"8417R568",19243
"3317A153",1172
"8418A84",19243
"6212A22",1200
"6212A66",1200
"6212A128",1200
"33381A4",1165
3339619013,1166
"33351A16",1205
"3312A101",1209
"3312A127",1209
"20419R29",19276
"33351A15",1205
"3317A123",1185
"7316R48",18511
"7316B5",18511
"3312A150",1219
"30991R130",1216
"30944A15",1220
"33272A113",1156
"33272A61",1156
"33852A3",1223
"80611A4",1221
"33811A47",1209
"33381A12",1224
"9818V8001",1210
"9818A13",1210
"AUTO",1210
"33013A117",1228
"33284A546",1209
"63221A71",19314
"33272R61",1219
"33381A529",1228
"33811A57",1219
"80311A89",1234
"9812R564",1235
"4711A21",19307
"4711A535",19307
"65011R52",19329
"65021A40",19329
"28712R569",19330
"36612R35",1239
"36612A34",1240
"65011R52",19329
"36614R91",1241
"ohne ID",1241
"30944A18",1220
"6518R545",19329
"6518A553",19329
